sid	gid	select_reason	row	season
UFMu-01454	Zm00001d045507	biomAP	NA	NA
UFMu-01721	Zm00001d034730	multi-fam	NA	NA
UFMu-01818	Zm00001d010309	multi-fam	NA	NA
UFMu-02043	Zm00001d004086	multi-fam	NA	NA
UFMu-02302	Zm00001d013709	multi-fam	NA	NA
UFMu-02314	Zm00001d016520	multi-fam	NA	NA
UFMu-02389	Zm00001d012916	multi-fam	NA	NA
UFMu-02413	Zm00001d012749	multi-fam	NA	NA
UFMu-02504	Zm00001d053369	multi-fam	NA	NA
UFMu-02634	Zm00001d031009	biomAP	NA	NA
UFMu-02687	Zm00001d011223	eQTL	NA	NA
UFMu-02724	Zm00001d010956	biomAP	NA	NA
