pid	gid	pname
PWY-6917	Zm00001d017528	vernolate biosynthesis III
PWY-6917	Zm00001d030988	vernolate biosynthesis III
PWY-6917	Zm00001d013088	vernolate biosynthesis III
PWY-6917	Zm00001d041204	vernolate biosynthesis III
PWY-6369	Zm00001d043283	inositol pyrophosphates biosynthesis
PWY-6369	Zm00001d043284	inositol pyrophosphates biosynthesis
PWY-6369	Zm00001d043286	inositol pyrophosphates biosynthesis
PWY-6369	Zm00001d033551	inositol pyrophosphates biosynthesis
PWY-6369	Zm00001d001974	inositol pyrophosphates biosynthesis
PWY-6369	Zm00001d026514	inositol pyrophosphates biosynthesis
PWY-6115	Zm00001d035392	avenacin biosynthesis, initial reactions
PWY-6115	Zm00001d024337	avenacin biosynthesis, initial reactions
PWY-6115	Zm00001d008672	avenacin biosynthesis, initial reactions
PWY-6115	Zm00001d008671	avenacin biosynthesis, initial reactions
PWY-6115	Zm00001d008674	avenacin biosynthesis, initial reactions
PWY-6115	Zm00001d015234	avenacin biosynthesis, initial reactions
PWY-6115	Zm00001d035389	avenacin biosynthesis, initial reactions
PWY-6115	Zm00001d053889	avenacin biosynthesis, initial reactions
PWY-6115	Zm00001d030814	avenacin biosynthesis, initial reactions
PWY-6115	Zm00001d014695	avenacin biosynthesis, initial reactions
PWY-6115	Zm00001d030822	avenacin biosynthesis, initial reactions
PWY-6115	Zm00001d030818	avenacin biosynthesis, initial reactions
PWY-1741	Zm00001d033580	indole-3-acetate inactivation IX
PWY-5973	Zm00001d030277	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d019926	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d031267	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d030591	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d049975	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d030276	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d030275	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d010180	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d037491	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d049351	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d016550	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d045543	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d050775	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d046627	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d025201	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d031453	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d004042	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d016834	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d036898	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d047255	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d022144	<i>cis</i>-vaccenate biosynthesis
PWY-5973	Zm00001d006866	<i>cis</i>-vaccenate biosynthesis
PWY-7206	Zm00001d033421	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d039454	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d047948	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d044311	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d050533	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d050084	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d045356	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d042645	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d032804	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d025743	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d006047	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7206	Zm00001d004080	pyrimidine deoxyribonucleotides dephosphorylation
